Status,origin,zmax,zmean,zsd,zskew,zkurt,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,Target
1,0,0.668303462,0.318331279,0.110950356,0.668167479,0.356981226,0.518675961,0.999028456,0.273170732,0.290718563,0.301467505,0.310458867,0.318579569,0.310252487,0.301873199,0.27983001,0.266163142,0.262380539,0.2570794,0.256021651,0.255573248,0.257146583,0.25837935,0.260308626,0.265949462,0.27027027,0.273891626,0.001727631,0.07419352,0.644399639,0.975145611,1,0.999510417,0.999582528,1,0.998657324,113.7713704
1,0,0.483918488,0.355032939,0.277336218,0.425178996,0.032734953,0.5582452,0.912575465,0.02172949,0.157827203,0.233542977,0.267879289,0.296296296,0.30489671,0.310878963,0.29846355,0.290634441,0.294526499,0.297334814,0.308525034,0.322717622,0.334115806,0.345190702,0.35770301,0.375281461,0.393503595,0.421182266,0.076873392,0.113850023,0.260474105,0.482034443,0.656631635,0.827554382,0.933035729,0.979484892,0.979343547,182.6422606
1,0,0.271544316,0.309416415,0.157658969,0.317755202,0.06780898,0.731261695,0.91915208,0.002660754,0.191616766,0.28427673,0.315832989,0.333333333,0.327850038,0.319884726,0.297809742,0.283685801,0.279177527,0.273736813,0.271447903,0.27096603,0.273082942,0.275844356,0.278522641,0.283212409,0.287379122,0.286453202,0.0361934,0.04087505,0.060355653,0.101299687,0.22812821,0.521003504,0.814884616,0.951939435,0.975249211,166.4741549
1,0,0.74662411,0.339227796,0.717295922,0.513385603,0.019951556,0.283259187,0.727803565,0.002660754,0.011548332,0.02557652,0.042579578,0.070818071,0.094491201,0.105907781,0.107224583,0.110574018,0.116130901,0.120766241,0.128010825,0.137738854,0.248304643,0.592269167,0.6339489,0.654741056,0.669228862,0.707881773,0.438810246,0.703735732,0.705408822,0.700541217,0.701607236,0.715193197,0.783797584,0.914756348,0.909984044,170.4752486
1,0,0.205254112,0.316221097,0.102478593,0.228546615,0.15242847,0.74044183,0.945497581,0,0.320786997,0.336687631,0.347664324,0.353683354,0.342004591,0.330331412,0.304347826,0.286404834,0.279177527,0.271515825,0.267658999,0.265658174,0.26551904,0.265570823,0.26587402,0.266449837,0.264319365,0.255665025,0.00357299,0.001814542,0.001529313,0.002318955,0.01173242,0.146209479,0.475446849,0.800253922,0.952430433,245.0498322
1,0,0.246992389,0.348494725,0.160044129,0.25062051,0.104091645,0.885089275,0.915717665,0.003991131,0.242942686,0.373584906,0.398098388,0.407000407,0.39441469,0.380403458,0.350768225,0.329003021,0.320011584,0.310105497,0.30473613,0.300955414,0.299165363,0.29818929,0.297647356,0.29797348,0.296057525,0.287931034,0.043612947,0.042495494,0.048753461,0.059723449,0.067378876,0.134715818,0.416482641,0.822223541,0.974160987,266.6436798
1,0,0.673950405,0.419372928,0.675833783,0.449064052,0.006329841,0.53072317,0.660151025,0,0.011120616,0.019706499,0.025217032,0.032153032,0.050497322,0.100864553,0.142530239,0.199093656,0.279177527,0.392282066,0.501488498,0.53529724,0.553208138,0.569410556,0.586137111,0.602201651,0.623109348,0.651724138,0.361745725,0.432898965,0.489325556,0.518753887,0.544185295,0.603919099,0.764954255,0.901949365,0.912268468,251.7389158
1,0,0.696783698,0.587334754,0.593010256,0.378131413,0.024219086,0.733093245,0.809913067,0,0.005132592,0.024318658,0.188094254,0.560643061,0.578423871,0.57889049,0.555410265,0.541087613,0.545322908,0.548028873,0.556968877,0.567675159,0.580855503,0.593553358,0.609157602,0.629972479,0.654599554,0.707389163,0.130385956,0.1447014,0.154589397,0.181518886,0.339703172,0.542925915,0.743989585,0.879973589,0.843011714,428.4254264
1,0,0.538914805,0.530372143,0.560914368,0.363745739,0.015356773,0.819535512,0.773248182,0.007982262,0.0213858,0.035220126,0.061182307,0.141229141,0.48075746,0.597622478,0.598561621,0.581268882,0.575731248,0.565241532,0.560757781,0.558651805,0.558424622,0.557852832,0.558107766,0.559419565,0.559137119,0.555172414,0.232566803,0.25317987,0.264821247,0.271383511,0.285005439,0.324094642,0.425622237,0.698883498,0.927012917,355.4481905
1,0,0.54038792,0.5441169,0.241725075,0.392182133,0.048283793,0.557750839,0.990312073,0.348558758,0.435414885,0.480922432,0.506407606,0.522995523,0.514537108,0.502881844,0.471395881,0.450453172,0.446857805,0.444197668,0.450338295,0.456210191,0.466614502,0.477976114,0.490260562,0.501876407,0.512521696,0.516748768,0.004082919,0.010084421,0.048326923,0.123374445,0.325741838,0.576898504,0.767890111,0.92172881,0.977119082,244.7428789
