AREA,AGE,SITE_INDEX,L7_M_20000813_B1,L7_M_20000813_B2,L7_M_20000813_B3,L7_M_20000813_B4,L7_M_20000813_B5,L7_M_20000813_B7,AREA*AREA,AREA*AGE,AREA*SITE_INDEX,AREA*L7_M_20000813_B1,AREA*L7_M_20000813_B2,AREA*L7_M_20000813_B3,AREA*L7_M_20000813_B4,AREA*L7_M_20000813_B5,AREA*L7_M_20000813_B7,AGE*AGE,AGE*SITE_INDEX,AGE*L7_M_20000813_B1,AGE*L7_M_20000813_B2,AGE*L7_M_20000813_B3,AGE*L7_M_20000813_B4,AGE*L7_M_20000813_B5,AGE*L7_M_20000813_B7,SITE_INDEX*SITE_INDEX,SITE_INDEX*L7_M_20000813_B1,SITE_INDEX*L7_M_20000813_B2,SITE_INDEX*L7_M_20000813_B3,SITE_INDEX*L7_M_20000813_B4,SITE_INDEX*L7_M_20000813_B5,SITE_INDEX*L7_M_20000813_B7,L7_M_20000813_B1*L7_M_20000813_B1,L7_M_20000813_B1*L7_M_20000813_B2,L7_M_20000813_B1*L7_M_20000813_B3,L7_M_20000813_B1*L7_M_20000813_B4,L7_M_20000813_B1*L7_M_20000813_B5,L7_M_20000813_B1*L7_M_20000813_B7,L7_M_20000813_B2*L7_M_20000813_B2,L7_M_20000813_B2*L7_M_20000813_B3,L7_M_20000813_B2*L7_M_20000813_B4,L7_M_20000813_B2*L7_M_20000813_B5,L7_M_20000813_B2*L7_M_20000813_B7,L7_M_20000813_B3*L7_M_20000813_B3,L7_M_20000813_B3*L7_M_20000813_B4,L7_M_20000813_B3*L7_M_20000813_B5,L7_M_20000813_B3*L7_M_20000813_B7,L7_M_20000813_B4*L7_M_20000813_B4,L7_M_20000813_B4*L7_M_20000813_B5,L7_M_20000813_B4*L7_M_20000813_B7,L7_M_20000813_B5*L7_M_20000813_B5,L7_M_20000813_B5*L7_M_20000813_B7,L7_M_20000813_B7*L7_M_20000813_B7,Target
0.044873465,0.4,0.31553686,0.25258422,0.39058185,0.31089488,0.54374295,0.33015683,0.2394036,0.0021585,0.028410817,0.041905954,0.041258235,0.03883929,0.03648959,0.037587296,0.030724626,0.027052026,0.16,0.3853256,0.22706771,0.31683877,0.25935644,0.27791566,0.22331832,0.22234592,0.09956351,0.1836707,0.18782291,0.15256914,0.22245617,0.16678794,0.13364057,0.12421744,0.19586472,0.1517413,0.37804094,0.19641511,0.14838797,0.23283704,0.17940171,0.35184854,0.18425712,0.14000113,0.13701779,0.26699,0.13980903,0.10703876,0.36156934,0.26990077,0.20807503,0.14213243,0.10920386,0.083665356,431.35086
0.052048,0.3939394,0.33352718,0.25976804,0.4204713,0.33253503,0.55830705,0.36348096,0.28350186,0.0028757672,0.032291047,0.05111942,0.04853676,0.047118228,0.044441298,0.04435625,0.038400516,0.035601325,0.15518825,0.40112385,0.2269198,0.3264969,0.26837295,0.2792058,0.23745786,0.24878067,0.1112404,0.19700113,0.2077309,0.16944164,0.23986542,0.19034375,0.16048613,0.12901923,0.2107995,0.16329436,0.39313415,0.21730934,0.17433387,0.25898376,0.19937015,0.37814048,0.21032152,0.1694604,0.15239544,0.28755587,0.15974015,0.1293547,0.3772249,0.2987802,0.243452,0.16677666,0.13539217,0.109769255,414.78473
0.067831986,0.4121212,0.33821955,0.2834875,0.43950385,0.35196462,0.60111374,0.43057182,0.3346133,0.004814907,0.04370264,0.06706306,0.066259585,0.06302263,0.06030531,0.060927372,0.057290714,0.05265368,0.1698439,0.4255411,0.24876606,0.35119775,0.2929195,0.30900678,0.28532478,0.29640055,0.11439247,0.20934343,0.21659364,0.17926751,0.25732568,0.22169885,0.18534113,0.14537218,0.23069264,0.18066509,0.4414446,0.26607457,0.21218722,0.2762502,0.21543805,0.4146911,0.25140253,0.20118086,0.16684985,0.31939977,0.19310316,0.15523513,0.42504275,0.36626428,0.29628244,0.2221202,0.17905751,0.14418666,389.95911
0.1365771,0.4,0.31553686,0.2695411,0.3820601,0.36856392,0.52459764,0.34610403,0.26872313,0.0190519,0.084357046,0.12442665,0.12944046,0.1158282,0.12516047,0.109789796,0.0956984,0.08854403,0.16,0.3853256,0.23495908,0.312653,0.29438743,0.2705731,0.231833,0.24246624,0.09956351,0.1900539,0.1853416,0.1731765,0.21657889,0.17314723,0.14573385,0.13566445,0.20096458,0.18221872,0.38122794,0.21263857,0.17018446,0.2255993,0.20353071,0.33651733,0.18916312,0.15187629,0.1796841,0.297088,0.16625793,0.13443533,0.34146333,0.27294916,0.2218041,0.15369028,0.12446571,0.10065041,470.56458
0.20610487,0.6787879,0.24283011,0.39172205,0.53252393,0.3920595,0.6069855,0.4014085,0.30096853,0.043032296,0.21513218,0.14390497,0.24272323,0.21611978,0.19774406,0.18467043,0.1624677,0.14548326,0.460753,0.503216,0.4952088,0.6559776,0.52378637,0.5127738,0.44352284,0.44900876,0.05896647,0.18165664,0.1763509,0.13973403,0.18613829,0.15022242,0.12238899,0.2297037,0.33324936,0.24420814,0.5488087,0.30662426,0.23825714,0.3675458,0.27022728,0.47928655,0.27024347,0.21052846,0.19861498,0.35118923,0.19806708,0.15499577,0.43181184,0.3475296,0.27348563,0.19712284,0.15458831,0.121028356,514.38104
0.051656667,0.22424242,0.3276942,0.350712,0.4883327,0.40094775,0.56364006,0.32655743,0.24107526,0.002833998,0.018247215,0.049859688,0.057260342,0.051575445,0.050978422,0.04435087,0.034961753,0.031216823,0.050284665,0.2243388,0.1528965,0.2045384,0.17606337,0.16007912,0.12411622,0.12529159,0.10738352,0.22910945,0.22461878,0.19186668,0.23737071,0.17172353,0.1395057,0.19587594,0.28854033,0.23110594,0.47865292,0.23812412,0.18358293,0.3227438,0.2586607,0.42333242,0.2127183,0.16458042,0.20601004,0.3369258,0.16954261,0.13205971,0.38303545,0.275204,0.21536656,0.13958357,0.10880046,0.08459421,122.69873
0.10448735,0.4181818,0.27215427,0.40655583,0.4996985,0.485124,0.4986532,0.44771266,0.40088588,0.011233884,0.06772438,0.08241325,0.12634543,0.10529098,0.11918689,0.081053615,0.09066157,0.09345256,0.17487603,0.34745464,0.31230113,0.38727295,0.38179135,0.2724695,0.29908872,0.34830573,0.07406795,0.20840974,0.18940322,0.18529157,0.17993234,0.18428937,0.17271484,0.24250282,0.32602784,0.30060542,0.47848737,0.34624484,0.31327394,0.3340195,0.3092682,0.38947642,0.28428593,0.2573505,0.282403,0.3587774,0.25901666,0.23491146,0.3150759,0.32726207,0.29825744,0.23748726,0.21546517,0.19546686,226.84064
0.036264025,0.21212122,0.2370553,0.36874554,0.50721645,0.3917222,0.65725476,0.408325,0.30883667,0.0014332115,0.012280968,0.025662567,0.04164914,0.03734386,0.03534621,0.03540337,0.029709525,0.02677188,0.04499541,0.15351526,0.14908235,0.19840105,0.16357458,0.17046557,0.14055927,0.14317857,0.056195214,0.17083868,0.16662098,0.13632043,0.19330524,0.14872202,0.12191655,0.21046941,0.30760258,0.2342501,0.56371605,0.29905123,0.23384771,0.34157193,0.26065713,0.49460778,0.26494026,0.20771703,0.19833688,0.37457433,0.20084661,0.15821508,0.49183497,0.3761073,0.29811224,0.2029205,0.16019307,0.12627068,41.91458
0.07148448,0.2060606,0.29536012,0.38411784,0.49945706,0.44625837,0.54890865,0.36601102,0.29397938,0.0053343847,0.022999233,0.061641354,0.08359904,0.07221493,0.07650484,0.059836447,0.05275711,0.05002689,0.042460974,0.1858081,0.14850822,0.19076906,0.17596693,0.14418928,0.12490464,0.13383542,0.0872376,0.21827391,0.2054873,0.18809077,0.20971583,0.16950622,0.1461662,0.22325854,0.31290737,0.26911426,0.49779436,0.279146,0.2304592,0.33377817,0.28778243,0.42097473,0.2383095,0.1970722,0.2457018,0.36048847,0.20356952,0.16912732,0.3670866,0.29652664,0.2474214,0.16872486,0.14024359,0.116460465,85.2866
0.021784503,0.27272728,0.21501914,0.3539424,0.5028354,0.4144967,0.5941803,0.426251,0.33529937,0.000546595,0.009766896,0.014398163,0.024618236,0.022561364,0.022518609,0.019994184,0.018869404,0.017529026,0.07438017,0.17902903,0.1869802,0.25361985,0.21974269,0.20267674,0.18724489,0.19646844,0.046233237,0.15116063,0.15026297,0.12919407,0.16214138,0.13976833,0.118021294,0.1984576,0.2969527,0.23919924,0.5034529,0.30249524,0.24433932,0.33716163,0.27161828,0.45165908,0.2734319,0.22139566,0.21752958,0.36126536,0.21813384,0.17737147,0.41711488,0.35973626,0.29403105,0.21832532,0.17781381,0.14467904,49.89074
